日付,見出し,詳細,詳細画像URL,リンクの見出し,リンクのURL
2025.3.14,リバーサポート活動を行いました,川口市戸塚鋏町から戸塚境町地先まで約900mの伝右川区間において、リバーサポート活動を実施いたしました。<br>この活動は、地域の環境美化と河川の保全に貢献する重要な取り組みです。<br>活動を通じて、河川周辺の清掃や環境整備を行い、地域の皆様の生活環境の向上に努めました。<br>今後も、定期的なリバーサポート活動を継続し、地域の皆様と協力しながら、美しい河川環境の維持に取り組んでまいります。,https://drive.google.com/file/d/1aHD_XDSyYJktX7DaZjFjZWV6yji4u7ZG/view?usp=sharing,,
2025.3.7,改良第27号水道工事まもなく完成いたします,令和６年６月より川口市芝地区で進めておりました水道工事につきまして、本復旧工事を終え、まもなくすべての工事が完了いたします。<br>周辺住民の皆様には多大なるご協力とご理解をいただき、心より感謝申し上げます。<br>この工事により、より安定した水道供給が可能となり、地域の生活環境の向上に寄与できるものと考えております。<br>今後とも、安心安全かつ効率的な工事を心掛け、地域の皆様に貢献できるよう努めてまいりますので、引き続きご理解とご協力を賜りますようお願い申し上げます。,https://drive.google.com/file/d/1Hrutsl2M7REQg6p9mhBPuM-rMuNLwWo0/view?usp=sharing,,
2025.3.4,女性活躍推進法に基づき実績を公表いたします,"当社は女性活躍推進法に基づき、下記の5項目について実績を公表いたします。<BR>
<BR>
1. 採用に関する状況
2024年度の採用実績は以下の通りです：
<BR>
最終採用者男女比：女性47%／男性53%<BR>
<BR>
競争倍率（女性2倍／男性3.1倍）<BR>
<BR>
2. 継続就業の状況<BR>
2024年度時点の男女別の平均継続勤務年数は以下の通りです：<BR>
総合職 女性平均11.6年／男性11.2年<BR>
一般職 女性平均3年／男性1年<BR>
<BR>
3. 労働時間管理<BR>
2024年度の時間外労働実績：<BR>
総合職 平均時間外労働時間 ９時間／月<BR>
一般職 平均時間外労働時間 ７時間／月<BR>
<BR>
4. 管理職比率<BR>
2024年8月末時点の女性管理職比率：<BR>
20％（産業別平均値 建設業3.9％）<BR>
<BR>
5. 多様なキャリアコース<BR>
直近3年間で実施したキャリア支援施策：非正規から正社員転換なし<BR>
キャリアアップに資するような雇用管理区分の転換：なし<BR>
再雇用制度活用：なし<BR>
中途採用（３０歳前後以上）：あり（１名）<BR>
<BR>
※数値は毎年更新し、改善が必要な項目については行動計画に基づき継続的な取り組みを実施し、ウェブサイト等で公表してまいります。<BR>
",,,
2025.2.28,川口市弥平地区解体工事現場　地上部分の解体工事がおおむね完了いたしました,埼玉県川口市弥平地区で令和6年12月より進めております解体工事におきまして、地上部分の解体がおおむね完了いたしました。現在は基礎部分の解体作業を進めており、安全第一を最優先に取り組んでおります。<br>工事期間中、周辺住民の皆様には騒音や振動などでご不便をおかけしておりますが、引き続きご理解とご協力を賜りますようお願い申し上げます。今後も地域の皆様への配慮を忘れず、迅速かつ丁寧な施工を心がけてまいります。,https://drive.google.com/file/d/1-unX6WKWCn0QDRSByyMigawvEpxh04W2/view?usp=sharing,,
2025.2.28,「埼玉県健康経営実践事業所」の認定をいただきました,このたび、当社は「埼玉県健康経営実践事業所」の認定をいただきました。<br>この認定は、事業所における従業員の健康に配慮した経営を促進する取り組みを評価いただいたものです。これを契機に、さらに一歩進んだ健康経営を推進し、従業員が元気に長く働ける職場づくりを目指してまいります。,https://drive.google.com/file/d/1uDLAdbfwlHMYHlHZakoWmDo6Ze6ELJk6/view?usp=sharing,,
2025.2.21,木曽呂小学校のグラウンドが全面利用可能になりました,令和6年10月より施工しておりました、木曽呂小学校グラウンド補修工事につきまして、生徒の皆様が安全にご利用いただけるよう、グラウンドを半分ずつ区切って施工を進めてまいりました。このたび、施工工程が完了し、完成検査前に生徒の利用が可能になりました。完成検査まで、もう少しとなっております。<br>工事期間中は、周辺住民の皆様ならびに学校関係者の皆様に多大なるご理解とご協力を賜り、心より感謝申し上げます。今後とも、地域の皆様が快適に施設をご利用いただけるよう、安心安全かつ効率的な工事を心掛けてまいります。,https://drive.google.com/file/d/1CY5cECMOv3VQ0RHA0CvkOHFwTOahcsDP/view?usp=sharing,,
2025.2.12,安行原地内の下水道工事がまもなく完成となります,"６月より施工しておりました、川口市安行原地内における下水道管の布設工事が、このたび舗装工事を完了し、まもなく完成検査を迎える運びとなりました。<br>
完成検査の合格を経て、地域の皆様にご利用いただける運びとなります。引き続き、地域の発展に貢献できるよう努めてまいります。",https://drive.google.com/file/d/1UsK5ooJ3oeL9w5wSrAnnqFevGGMy5pq3/view?usp=sharing,,
2025.2.4,安行藤八特定土地区画整理地内の街路築造工事はまもなく完成となります,"１０月より施工しておりました、川口市安行藤八特定土地区画整理事業における都市計画道路安行藤八線ほか3路線の街路築造工事が、舗装工事を完了し、まもなく完成検査を迎える運びとなりました。<br>
完成検査の合格を経て、地域の皆様にご利用いただける運びとなります。引き続き、地域の発展に貢献できるよう努めてまいります。",https://drive.google.com/file/d/181YzjYbSgu42z4SA4fedwcN5DsLJCdpu/view?usp=sharing,,
2025.1.28,川口SDGsパートナー制度への登録をいたしました, このたび、弊社は川口SDGsパートナー制度への登録を完了いたしました。本制度は、SDGsの達成に向けて積極的な取り組みを行う市内の企業・団体を川口市が認定し、支援する制度となっております。弊社は本制度を通じ、川口市における経済・社会・環境の三側面における持続可能な取り組みを、より一層推進してまいります。,https://drive.google.com/file/d/13EKqRuxJxLKtlqFhDWsLTd2N7ul4Yvy5/view?usp=sharing,,
2025.1.21,"健康優良企業(STEP1)認定取得しました
",当社の「健康経営」への取り組みが評価され、このたび、協会けんぽより「健康優良企業（STEP1）」の認定を受ける事ができました。<BR>社員の皆様が健康で活き活きと働き続けられる職場づくりを重要な経営課題と位置付け、今後とも健康増進の取組みを続けて参ります。,https://drive.google.com/file/d/1Uznkz9ZWqNB0T1pBbPr-1Eo4fkzh7SFk/view?usp=sharing,,
2025.1.6,次世代育成支援対策推進法及び女性活躍推進法に基づく邦栄建設株式会社行動計画を策定いたしました,"邦栄建設株式会社では社員がその能力を発揮し、仕事と生活の調和を図り働きやすい雇用環境
整備を行うため、次のように行動計画を策定いたしました。<br>
１．計画期間：<br>
令和7年１月1日 ～ 令和８年１2月３1日までの２年間<br>
２．内容<br>
 目標１：令和9年１月までに、所定外労働を削減するため、ノー残業デーを
設定、実施する。<br>
目標２：令和9年１月までに、年次有給休暇の取得日数を１人当たり平均年間6日以上とする。<br>
以上となります。具体的内容、計画についてはリンク画像をご確認ください。

",https://drive.google.com/file/d/1AkenAf16iJgGW9FQb_qx3TivX0UYoVwJ/view?usp=sharing,次世代育成支援対策推進法及び女性活躍推進法に基づく邦栄建設株式会社行動計画,
2024.12.24,"埼玉県シニア活躍推進宣言企業認定をいただきました
","このたび、埼玉県よりシニア活躍推進宣言企業認定をいただきました。この取組みはシニアの活躍を促進し、企業の成長につなげることを目的としたものです。今後も、元気に長く働ける職場づくりを心がけてゆきたいと考えております。
",https://drive.google.com/file/d/13VByp1HCnY27RCQHy4HjeFif3a4D_ii1/view?usp=sharing,,
2024.12.13,年末年始休業日のお知らせ,"誠に勝手ながら、年末年始休業日を下記の通りとさせていただきます。<BR>

年末年始休業期間：2024/12/28（土）～2025/1/5（日）<BR>

ご不便をおかけいたしますが、何卒ご了承いただきますようお願い申し上げます。",,,
2024.12.9,埼玉県県土づくり優秀現場代理人表彰をいただきました,「県土づくり優秀建設工事施工者表彰」をいただきました、河川改修（水辺）工事（緑川護岸修繕工その２）につきまして、担当現場代理人が優秀現場代理人の表彰をいただきました。,https://drive.google.com/file/d/1r8q9yTXOBsAg2XQV8Iou4oBE3uZCpvwz/view?usp=sharing,,
2024.12.9,埼玉県県土づくり優秀建設工事施工者表彰をいただきました,このたび弊社は、埼玉県さいたま県土整備事務所長より「県土づくり優秀建設工事施工者表彰」をいただきました。,https://drive.google.com/file/d/1jYjWFjO7vQnzDbYnvnB8It1cnRO6vmYj/view?usp=sharing,,
2024.12.6,ロードサポート活動をおこないました,年４回行われております、ロードサポート活動を12月6日に行いました。紅葉が例年よりも遅くなったこともあり、１２月のこの時期に、坂道の歩道に落ち葉が積もっている状態でしたが、きれいになり歩行者も自転車も安全に通行できるようになりました。,https://drive.google.com/file/d/1YQqJKJuEm2-VlXNDauZfn8hJcdJ-mNCB/view?usp=sharing,,
2024.12.1,川口市道合の下水道工事が工事まもなく完成です,７月頃から施工しておりました、川口市道合地内の下水道工事につきまして、管の敷設が終わり舗装の本復旧をいたしました。まもなく完成となります。,https://drive.google.com/file/d/1XQewxsX8g61E0oY7ZwbMhfeq3flIdoB5/view?usp=sharing,,
2024.11.17,安全大会を行いました," 11月16日に弊社恒例の安全大会を開催しました。まず、労働災害で亡くなられた方々に追悼と敬意を表し、黙祷を捧げました。その後、優秀工事表彰、安全功労者表彰、優秀安全標語表彰を行いました。最後に、一年間の無事故を誓う安全宣言とシュプレヒコールで、決意を新たにしました。<BR>
 さらに、今回初めての試みとして、ランマーレース大会を余興として開催しました。参加者は安全性と効率性を両立させながら競い合い、大会を盛り上げました。",https://drive.google.com/file/d/12hqk81tHEVDcxOH3IA-YbPUR-aEEcC3L/view?usp=sharing,,
2024.11.1,県道の舗装工事が完成いたしました,"川口市東領家地内で行われておりました、舗装工事につきまして、すべての工程が完了し、発注者による検査を受け完了となりました。<br>
当現場は夜間の施工につき、周辺住民の皆様にはご協力をいただき、大変ありがたく存じます。<br>
今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1Lpnp9xqyQVsxHsuwT2YutVbztdP0D67y/view?usp=sharing,,
2024.10.18,水道管の布設工事が完成いたしました。,"川口市東本郷地内にて３月より施工しておりました水道管の布設工事につきまして、すべての工程が完了し、発注者による検査を受け完了となりました。<br>
周辺住民の皆様にはご協力をいただき、大変ありがたく存じます。<br>
今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1yINTZ5HApu3xL1v6_a4RBWXhTBKB83D4/view?usp=sharing,,
2024.10.11,水道工事まもなく完成いたします。,"川口市東本郷地区にて3月より進めておりました水道管の布設工事につきまして、現在、配管を施工した道路の舗装工事を行っております。<br><br>

通行止めの期間中、周辺住民の皆様ならびに通行者の皆様に多大なるご協力をいただき、心より感謝申し上げます。<br><br>

工事はまもなく全て完了する予定です。引き続き、皆様のご理解とご協力を賜りますよう、何卒よろしくお願い申し上げます。",https://drive.google.com/file/d/1hR-p_3DpTYWULBDKCDqsoTBWEt5UUHK4/view?usp=sharing,,
2024.10.10,川口市より優秀建設工事施工業者表彰をいただきました,"このたび、弊社は川口市より令和６年度優秀建設工事施工業者表彰をいただきまた。これもひとえに日頃よりご支援いただいております皆様のおかげと心より感謝申し上げます。<br>
今回の受賞は、以下３件の工事が評価された結果です。<br>・網代橋改修工事<br>・石神西立野特定土地区画整理事業 都市計画道路石神戸塚線橋梁建設工事<br>・川口第３処理分区汚水管渠２工区築造工事
<br>
今後も、さらなる技術の向上および品質管理の強化に努め、地域社会から信頼され続ける企業を目指してまいります。",https://drive.google.com/file/d/1-RBvA6CEJj6wzUwVghjy-FdKKk-rgvLh/view?usp=sharing,,
2024.8.2,夏季休業のお知らせ,"平素は格別のご愛顧を賜り、厚く御礼申し上げます。<br>
誠に勝手ながら、以下の期間を夏季休業とさせていただきます。<br>
ご不便をおかけ致しますが、何卒ご理解の程お願い申し上げます。<br>
<br>
■夏季休業期間：
2024年8月10日（土）～8月18日（日）<br>
※2024年8月19日（月）より、通常通り営業いたします。
<br><br>
夏季休業期間中に頂きましたお問い合わせにつきましては、2024年8月19日（月）以降、順次対応させていただきます。",,,
2024.7.25,暑気払いを行いました,例年にも増して厳しい暑さが続いておりますが、現場監督、作業員の皆さまに労をねぎらうため、暑気払いを行いました。昨年は屋外でバーベキューを開催しましたが、今年は屋内で涼しい環境を確保し、おいしい食事とお酒を用意しました。お盆までの無事故を願い、皆さまの健康と安全に配慮しながら、作業に励んでいただきます。,https://drive.google.com/file/d/1woSjm28wSqvKEiTKsVy-9M4XeJM65C6w/view?usp=sharing,,
2024.7.20,特別教育を行いました," 7月20日に従業員の安全意識向上を目的とした特別研修を実施しました。現場監督、作業員には刈払機の安全取扱いについて、外国人実習生にはフルハーネスの使用方法について母国語で徹底した指導を行いました。<br><br>

暑い環境での長時間の研修となりましたが、一人ひとりが作業の危険性を再認識し、安全対策の重要性を学ぶ良い機会となりました。当社では今後も定期的な安全教育を実施し、従業員の皆様が安心して働ける環境づくりに努めてまいります。",https://drive.google.com/file/d/1j1o0c_d1IOWcviqacgWgCwg26CgN-vfY/view?usp=sharing,特別教育,
2024.6.26,新河岸川の築堤工が完成いたしました,長らく完成をお待たせいしておりました、朝霞県土整備事務所発注の２５２０交付金（河川）整備工事（築堤工その１０）につきまして、この度工事を完成いたしました。新河岸川がより水害に強い河川となり、皆様の安心安全に貢献できたことを大変うれしく思います。今後とも、より災害に強いまちづくりに貢献させていただきたいと考えてております。,https://drive.google.com/file/d/1VC-jdJvktvMCmrJ26HKRPFQhRMAGDg2N/view?usp=sharing,新河岸川空撮,
2024.5.9,埼玉県アライチャレンジ企業に登録いたしました,"性の多様性に配慮した様々な取り組みにチャレンジする「埼玉県アライチャレンジ企業」として登録させていただきました。この登録は、LGBTQを理解し、支援している人、または支援したいと思う人であることを示す""アライ""として、性の多様性を尊重し、働きやすい職場環境を整備する取組の一環として行われました。この度の登録に対する皆様のご理解とサポートに感謝申し上げます。今後ともよろしくお願い申し上げます。",https://drive.google.com/file/d/1h5UMOb8oKzdNaaw01zMkxYjXqzq1lTS2/view?usp=sharing,登録証,
2024.4.11,岸川中学校の学習企業講演に参加をいたしました, 先日、岸川中学校にて行われました、学習企業講演に参加をいたしました。公共工事を行う会社がどのような仕事をしているのか、SDGs（持続可能な開発目標）に対し、どのような取り組みをおこっているのかを説明させていただきました。このような場を設けていただきました、学校、先生方、生徒皆様に感謝申し上げます。,https://drive.google.com/file/d/1H8iwe_Az_x_ovidvCb3PcxXKSuiF-e5q/view?usp=sharing,学習企業講演,
2024.3.22,地球温暖化の防止に貢献しています,緑の募金を通じて行われた植樹活動により、CO₂の吸収量を4トン削減することができました。これは、私たちの環境への責任と、持続可能な未来へのコミットメントを示す大きな一歩です。私たちは、この成果を皆様と共有し、さらなる環境保全活動への意識を高めることを願っています。今後も、地球環境の改善に向けて、一層の努力を続けてまいります。,https://drive.google.com/file/d/1st1fv9unyEH0zNO-oaVeigliH5dlpqvJ/view?usp=sharing,認証書,
2024.3.19,網代橋の改修工事が完成いたしました, 安行領根岸の芝川にかかる網代橋の長寿命化に伴う改修工事が、本日の検査をもって完成となりました。写真は、あまり目には触れない桁の部分のものです。今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。,https://drive.google.com/file/d/1VjvMpvfsSqWH71gkM-q-dylXl3eFYAuB/view?usp=sharing,,
2024.3.6,網代橋の改修工事まもなく完成です," 安行領根岸の芝川にかかる網代橋の長寿命化に伴う改修工事におきまして、足場を撤去し、きれいに塗装しなおされた状況を見ることができるようになりました。粉塵を外に漏らさないよう密閉され、専用のマスクや防護服を着用の中での作業でしたが、無事完成し、あとは検査を待つばかりの状況となっております。
 周辺にお住まいの皆様には、工事へのご協力をいただき、大変ありがたく存じます。 今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1b40Cav0ZYYCgK3JgIJf4pMOP2QCzs4zm/view?usp=sharing,,
2024.2.15,水道工事まもなく完成いたします。,"川口市青木地内にて８月より施工しておりました、水道管の布設工事につきまして、配管を行いました道路の舗装がこの度完成し、まもなくすべての工事が完了いたします。
周辺住民の皆様にはご協力をいただき、大変ありがたく存じます。
今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1lqbbYFTxqixLF5fMF5kOe6fD40QTs1dO/view?usp=sharing,舗装仕上がり状況,
2024.2.13,ホームページをリニューアルしました。,ホームページをリニューアルしました。,,,
2024.2.6,網代橋の中間検査を行いました,現在、安行領根岸の芝川にかかる網代橋において、橋の改修工事を行われており、１月１８日に中間検査がおこなわれました。既存塗料、さび等を落とす際の粉塵を外に出さないために密閉された中で作業しております。外からは見ることができないのですが、中では写真のような作業が行われております。作業の安全と環境への配慮を確保し、３月末までに工事を完了する予定です。もうしばらく、ご不便をおかけすることになりますが、何卒、作業へのご理解ご協力をお願いいたします。,https://drive.google.com/file/d/1Kq1uJ7wqvQ3NH_c-TjAR-OtAvzz6wzZE/view?usp=sharing,,
2024.1.24,安行小山地内での下水道工事が完成いたしました,"川口市安行小山地内にて６月より施工しておりました、下水道管の布設工事がこの度完成いたしました。
周辺住民の皆様にはご協力をいただき、大変ありがたく存じます。<br>
今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1qyTitMUl-kaiZcvGrtIokfjz5SH9d8gO/view?usp=sharing,安行小山地内での下水道工事,
2024.1.18,赤井地内での下水道工事が完成いたしました,"川口市大字赤井地内にて６月より施工しておりました、下水道管の布設工事がこの度完成いたしました。
周辺住民の皆様にはご協力をいただき、大変ありがたく存じます。
今後とも、安心安全かつ効率的な工事を心掛け、地域のみなさまに貢献できるよう努めてまいります。",https://drive.google.com/file/d/1L_OKCs1ivPT9cIpG_1_2enJ-ayU2WJmK/view?usp=sharing,赤井地内での下水道工事,
